% # columns="iteration, evaluation, void, void, void, xmean", seed=79710, Mon Jan 15 12:14:22 2018, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
99 1089 0 0 0 3.26919477537 4.5393048336 11.692414347 -1.0943727398 2.03926143483 -0.417853369572 14.868002021 18.1709358751 11.529426591 -7.71221131702 10.9878819596 0.661980252365 9.34531967729 11.2140837879
100 1100 0 0 0 3.18646865214 4.53148969795 11.9315134017 -0.9655669821 2.0008910055 -0.67762910123 15.109572259 18.3154136065 12.0060750588 -7.64446342647 11.0416378764 0.743052453288 9.27025828139 11.3203599601
101 1111 0 0 0 3.06741672561 4.57618061792 11.9130640669 -1.01917563884 2.23467941874 -0.587377855361 15.3095283706 18.0535741322 11.8192183255 -7.66244627713 11.1078621005 0.542533890659 9.28425853646 11.4040241066
102 1122 0 0 0 3.04923945464 4.49803871131 11.9179671603 -0.855081586495 2.11859253504 -0.611916567534 15.1904014473 17.8340408106 12.1357462699 -7.72296752584 10.808167816 0.579277074671 9.30499058227 11.1961559741
103 1133 0 0 0 3.26906535865 4.50876130215 11.6867019773 -0.829643904221 2.00950008741 -0.876157240577 14.8855072721 17.5616009701 12.3269954324 -7.66733091894 10.8786594297 0.539927900141 9.48880074486 11.1524955396
104 1144 0 0 0 3.40543638297 4.34287455756 11.7817041563 -0.721181071737 2.25872507023 -0.911366068717 14.5582704015 17.4954109662 12.4687129153 -7.725710722 10.8549590111 0.557807489567 9.43171676336 10.7059235764
105 1155 0 0 0 3.39137367983 4.71921197626 11.5467479455 -0.756771100831 2.5840297826 -0.88690975487 14.6199238243 17.6698354875 12.7359438776 -7.8331594078 11.0830381109 0.489833768047 9.35841359319 10.8700774163
106 1166 0 0 0 3.4993574051 4.7392116996 11.3113721626 -0.557258363502 2.4755249821 -0.998997141256 14.6155451789 17.5576533117 12.5269895632 -7.7682325133 11.1474326769 0.665990958224 9.31003343735 10.9212397726
107 1177 0 0 0 3.35016623188 4.70957989531 11.4467063333 -0.437371983413 2.42742934282 -1.07293926945 14.8927552645 17.4296647552 12.4612262906 -7.6107086878 11.2109755999 0.641848129947 9.22120793936 11.2248240019
108 1188 0 0 0 3.1850917903 4.67089467962 11.6260889801 -0.541114614933 2.47777971671 -1.04427323186 14.8882199771 17.7386476975 12.8082942295 -7.63835573296 11.1908478126 0.573537075426 9.2994151226 11.1012635266
109 1199 0 0 0 3.07135460852 4.92917449695 11.8148171958 -0.431684654619 2.64937564478 -1.30227378934 14.4928653885 18.1480345133 13.0831239596 -7.52506000503 11.2816692702 0.810681759094 9.01380495594 10.9238011505
110 1210 0 0 0 3.21071650069 4.6764358239 11.6081220558 -0.357527310883 2.27148917514 -1.05928473507 14.3624758632 18.2585982377 12.9093347233 -7.57017515351 11.3020237649 0.894970874802 8.95562936251 10.9554803038
111 1221 0 0 0 2.92806006847 4.44454495604 11.3519943176 -0.22778756872 2.27825561516 -0.920916366115 14.3848157368 18.4623315591 13.1393922942 -7.63095619851 11.1666345221 1.12165040577 8.74391240243 10.6333933199
112 1232 0 0 0 2.91181770784 4.36779430561 11.3138611614 -0.375994143049 2.41270063138 -0.866549376649 14.7657465895 18.6471728993 13.0976246505 -7.68016654592 11.0397196476 1.08309426702 8.81897854164 10.9002457864
113 1243 0 0 0 2.79822289889 4.67044090571 10.839399566 -0.411989243211 2.84065079959 -1.06849180788 14.8169328792 18.801727176 13.0397595548 -7.77942182986 11.2212391463 0.977300269948 8.81595254254 10.8824339841
114 1254 0 0 0 2.97526069533 4.88911312104 10.5937475866 -0.315881658488 2.78645676263 -1.0585902497 14.704079837 18.5794136498 12.9251124093 -7.76491993744 11.203316301 0.798557005658 8.99425371563 10.8832683431
115 1265 0 0 0 3.04129798671 4.71020728576 10.4515411295 -0.231077759237 3.04180479506 -1.11232373672 14.5912051348 18.6695367778 12.699833056 -7.83325751331 11.2674331568 0.607122052692 9.077571526 10.5107294842
116 1276 0 0 0 3.20546934772 4.52077424435 10.659400792 -0.371845806942 2.95288528571 -0.799977395421 14.6252441111 18.2957724367 12.5877190464 -7.63924523996 11.0044367239 0.668617964262 9.19946628256 10.4443734441
117 1287 0 0 0 3.52057562233 4.59876019514 10.8710953451 -0.33374314229 3.00057828764 -0.726984020456 14.6732190131 17.8985348785 12.7322980773 -7.39321048092 10.9455963303 0.691658871587 9.20606957271 10.3514566162
118 1298 0 0 0 3.50334238584 4.34429261315 10.5779548731 -0.392870707138 2.91440390975 -0.834769088148 14.7695198881 17.8815109543 12.3890729674 -7.5603662727 11.0686500685 0.522540714184 9.32559723774 10.6727971183
119 1309 0 0 0 3.50857278274 4.33768539177 10.6156584684 -0.317985682358 3.27413399981 -0.724241197731 14.8465537739 17.7761357007 12.7028186579 -7.56638770731 11.1424770178 0.59207606219 9.2185121688 10.3559537861
120 1320 0 0 0 3.43359017568 4.06762342954 10.5266953085 -0.556931557278 3.07994694465 -0.654398029084 14.825533967 17.9587123131 12.5367199074 -7.63269591693 10.9884829637 0.403281129892 9.5116510576 10.4302041093
121 1331 0 0 0 3.39213648534 3.61767610746 10.7230488594 -0.843746705513 2.73765337451 -0.624513129813 14.8432257992 17.4800666221 12.1910507374 -7.3978073955 10.7505341036 0.302874708227 9.61474013349 10.5509116784
122 1342 0 0 0 3.18987637422 3.73954388285 10.7743350701 -0.759517076761 2.80267569593 -0.63640508243 14.8883494112 17.8178287903 12.4216349198 -7.46436788261 10.8754714564 0.512890379211 9.35042841948 10.6493898035
